RCDTS,County ,Dist # ,District Name/ School Name,City,ELA,Math
540920040260004,Vermilion,40,Georgetown-Ridge Farm High School,Georgetown,471.4,453.4
540920070260000,Vermilion,70,Rossville-Alvin CUSD 7,Rossville,385.0,400.0
540920110260000,Vermilion,110,Hoopeston Area CUSD 11,Hoopeston,500.6,483.2
540920110260005,Vermilion,110,Hoopeston Area High School,Hoopeston,502.5,484.8
540920760260000,Vermilion,760,Oakwood CUSD 76,Oakwood,480.8,484.3
540920760260001,Vermilion,760,Oakwood High School,Fithian,482.8,486.3
540921180240000,Vermilion,1180,Danville CCSD 118,Danville,451.1,430.1
540921180240022,Vermilion,1180,Danville High School,Danville,452.7,431.3
540922250170000,Vermilion,2250,Armstrong Twp HSD 225,Armstrong,486.9,477.4
540922250170001,Vermilion,2250,Armstrong High School,Armstrong,486.9,477.4
540925120260000,Vermilion,5120,Salt Fork Community Unit District  512,Catlin,479.9,466.4
540925120260001,Vermilion,5120,Salt Fork High School,Catlin,479.9,466.4
540928000800000,Vermilion,8000,Bismarck Henning Rossville Alvin Cooperative High School,Bismarck,507.1,481.0
540928000800001,Vermilion,8000,Bismarck Henning Rossville Alvin Cooperative High School,Bismarck,507.1,481.0
560992020220000,Will,2020,Plainfield SD 202,Plainfield,513.7,517.0
560992020220001,Will,2020,Plainfield High School,Plainfield,503.4,505.9
560992020220002,Will,2020,Plainfield South High School,Plainfield,503.3,505.6
560992020220003,Will,2020,Plainfield North High School,Plainfield,537.1,542.3
560992020220004,Will,2020,Plainfield East High School,Plainfield,514.3,518.1
560992040170000,Will,2040,Joliet Twp HSD 204,Joliet,475.3,467.8
560992040170001,Will,2040,Joliet Central High School,Joliet,461.7,457.0
560992040170003,Will,2040,Joliet West High School,Joliet,490.0,480.7
560992050170000,Will,2050,Lockport Twp HSD 205,Lockport,529.7,530.0
560992050170001,Will,2050,Lockport Township High Sch East,Lockport,530.5,531.0
560992100160000,Will,2100,Lincoln Way CHSD 210,New Lenox,551.8,559.1
560992100160001,Will,2100,Lincoln-Way Central High School,New Lenox,556.2,562.7
560992100160002,Will,2100,Lincoln-Way East High School,Frankfort,555.9,560.2
560992100160004,Will,2100,Lincoln Way West,New Lenox,542.4,558.1
601054280300000,Dept Of Corrections,4280,IDJJ Sch Dist 428,Chicago,385.0,340.0
601054280303028,Dept Of Corrections,4280,School District 428 IYC-HRB,Harrisburg,385.0,340.0
651089000800000,State Of Illinois,9000,Dept of Human Services,Springfield,392.3,365.9
651089010800000,State Of Illinois,9010,ISU  Laboratory Schools,Normal,390.0,340.0
651089010800001,State Of Illinois,9010,University High School,Normal,390.0,340.0
04101205025201C,Winnebago,2050,Legacy Acad of Excellence Charter Sch,Rockford,330.0,355.0
